offline_policy,online_policy,policy,n_cores,u_per_core,seed,n_tasks,total_utilization,solve_seconds,sim_seconds,offline_feasible,n_hard_jobs,n_soft_jobs,hard_miss_ratio,soft_miss_ratio,deadline_miss_ratio,acceptance_ratio,qos_mean,qos_weighted,qos_accepted,soft_response_mean_ticks,schedulable,energy_j,mean_chip_power_w,peak_chip_power_w,tdp_w,tdp_violation_ratio,mean_core_power_w,mean_core_busy_ratio,mean_core_level,sim_steps,horizon_ticks,tasks_per_core
ga,slack,ga+slack,8,0.75,0,16,5.999985,0.5902571690003242,0.00671010200130695,True,118,37,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3209.972972972973,True,5.673652606427916,28.36826303213958,30.23875114784206,30.400000000000002,0.0,3.296032879017448,0.9318525,87.5,216,200000,2
ga,slack,ga+slack,8,0.75,1,16,6.00005,0.580904926000585,0.00748291299896664,True,110,40,0.0,0.025,0.006666666666666667,1.0,0.999466902331946,0.999466902331946,0.999466902331946,4216.775,True,5.726272564187327,28.631362820936637,30.121212121212125,30.400000000000002,0.0,3.3289203526170814,0.94409875,87.5,213,200000,2
ga,slack,ga+slack,8,0.75,2,16,6.00009,0.686403600999256,0.0074853440000879345,True,97,40,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3757.2,True,5.7834354883379255,28.91717744168963,30.23875114784206,30.400000000000002,0.0,3.3646471802112026,0.947516875,87.5,201,200000,2
ga,slack,ga+slack,8,0.75,3,16,6.000025,0.5875128909992782,0.00704683600088174,True,95,42,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3484.285714285714,True,5.771008949494951,28.855044747474757,30.23875114784206,30.400000000000002,0.0,3.356880593434344,0.947430625,87.5,202,200000,2
ga,slack,ga+slack,8,0.75,4,16,5.999935,0.6051832220000506,0.008135694000884541,True,123,44,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3708.2045454545455,True,5.790346892561985,28.951734462809927,30.23875114784206,30.400000000000002,0.0,3.3689668078512396,0.94876375,87.5,235,200000,2
ga,slack,ga+slack,8,0.75,5,16,5.999955,0.8559487889997399,0.007958845999382902,True,90,48,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3141.2291666666665,True,5.759994448117539,28.7999722405877,30.121212121212125,30.400000000000002,0.0,3.349996530073463,0.9495743750000001,87.5,210,200000,2
ga,slack,ga+slack,8,0.75,6,16,6.000005,0.5987458289982897,0.00697437899907527,True,93,42,0.0,0.023809523809523808,0.007407407407407408,1.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,3407.829268292683,True,5.775832607162536,28.87916303581268,30.23875114784206,30.400000000000002,0.0,3.3598953794765842,0.9406975,87.5,200,200000,2
ga,slack,ga+slack,8,0.75,7,16,6.0,0.8653959720013518,0.010244449998936034,True,74,44,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3592.8863636363635,True,5.779658236179985,28.89829118089993,30.23875114784206,30.400000000000002,0.0,3.3622863976124893,0.954275625,87.5,173,200000,2
ga,slack,ga+slack,8,0.85,0,16,6.80001,0.6219248299985338,0.00935166300041601,True,118,37,0.0,0.8378378378378378,0.2,1.0,0.16216216216216217,0.16216216216216217,0.16216216216216217,37007.666666666664,True,6.021528150964188,30.10764075482094,30.121212121212125,30.400000000000002,0.0,3.513455094352619,0.999399375,87.5,191,200000,2
ga,slack,ga+slack,8,0.85,1,16,6.79991,0.6130978990004223,0.009256207000362338,True,110,40,0.0,0.85,0.22666666666666666,1.0,0.16911742495752313,0.16911742495752313,0.16911742495752313,46572.77777777778,True,6.1572545660238776,30.78627283011939,30.826813590449955,30.400000000000002,0.98884,3.598284103764921,0.998605,88.75,191,200000,2
