offline_policy,online_policy,policy,n_cores,u_per_core,seed,n_tasks,total_utilization,solve_seconds,sim_seconds,offline_feasible,n_hard_jobs,n_soft_jobs,hard_miss_ratio,soft_miss_ratio,deadline_miss_ratio,acceptance_ratio,qos_mean,qos_weighted,qos_accepted,soft_response_mean_ticks,schedulable,energy_j,mean_chip_power_w,peak_chip_power_w,tdp_w,tdp_violation_ratio,mean_core_power_w,mean_core_busy_ratio,mean_core_level,sim_steps,horizon_ticks
ga,slack,ga+slack,8,0.25,0,32,1.999925,0.5137023810002574,0.009209042000293266,True,196,38,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5030.5,True,2.861756088154267,14.308780440771336,22.26446280991735,30.400000000000002,0.0,1.5385975550964188,0.41876312499999996,70.0,296,200000
ga,slack,ga+slack,8,0.25,1,32,2.000075,0.5664314390014624,0.009195186999932048,True,198,41,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5103.829268292683,True,2.8868669090909096,14.434334545454549,22.26446280991735,30.400000000000002,0.0,1.5542918181818186,0.43005125,70.0,304,200000
ga,slack,ga+slack,8,0.25,2,32,1.99997,0.8253159870000673,0.01760302100046829,True,169,50,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5519.9,True,2.9863338402203854,14.931669201101927,22.26446280991735,30.400000000000002,0.0,1.6164586501377416,0.46989125,70.0,293,200000
ga,slack,ga+slack,8,0.25,3,32,1.9999850000000001,0.9103678419996868,0.013011434999498306,True,182,32,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4762.40625,True,2.809381928374656,14.046909641873281,22.26446280991735,30.400000000000002,0.0,1.5058637052341601,0.39429625,70.0,267,200000
ga,slack,ga+slack,8,0.25,4,32,1.99996,1.2658894920004968,0.009579736000887351,True,205,38,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5266.8421052631575,True,2.882284991735537,14.411424958677687,22.26446280991735,30.400000000000002,0.0,1.5514281198347097,0.422400625,70.0,305,200000
ga,slack,ga+slack,8,0.25,5,32,2.0,1.5044738880005752,0.016781825999714783,True,252,42,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4665.428571428572,True,2.8660040440771337,14.33002022038567,22.26446280991735,30.400000000000002,0.0,1.5412525275482087,0.422351875,70.0,360,200000
ga,slack,ga+slack,8,0.25,6,32,1.999955,1.4883635969999887,0.015014123999208095,True,189,41,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4995.170731707317,True,2.880083482093663,14.400417410468316,22.26446280991735,30.400000000000002,0.0,1.550052176308539,0.42740999999999996,70.0,295,200000
ga,slack,ga+slack,8,0.25,7,32,1.99993,1.4738698110013502,0.016589064998697722,True,230,41,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5064.292682926829,True,2.8897966721763075,14.448983360881538,22.26446280991735,30.400000000000002,0.0,1.5561229201101932,0.42774875,70.0,336,200000
ga,slack,ga+slack,8,0.5,0,32,4.000055,0.6487386989992956,0.015540190999672632,True,196,38,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4959.315789473684,True,4.506520418732785,22.53260209366393,30.132231404958677,30.400000000000002,0.0,2.5665752617079876,0.65783625,85.0,295,200000
ga,slack,ga+slack,8,0.5,1,32,4.000005,0.784718040998996,0.010527406000619521,True,198,41,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4876.585365853659,True,4.576077542699724,22.88038771349862,30.132231404958677,30.400000000000002,0.0,2.6100484641873276,0.6582281249999999,85.0,304,200000
ga,slack,ga+slack,8,0.5,2,32,3.999895,0.5235348360001808,0.011783785001171054,True,169,50,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4469.5,True,4.0731554975206645,20.365777487603324,24.576308539944904,30.400000000000002,0.0,2.295722185950414,0.784180625,77.5,293,200000
ga,slack,ga+slack,8,0.5,3,32,3.999975,0.502541398998801,0.008591806999902474,True,182,32,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4644.09375,True,4.47358473829201,22.367923691460053,30.132231404958677,30.400000000000002,0.0,2.5459904614325053,0.628583125,85.0,269,200000
ga,slack,ga+slack,8,0.5,4,32,4.000015,0.5316786170005798,0.008703600000444567,True,205,38,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5184.789473684211,True,4.547926787878785,22.739633939393926,30.132231404958677,30.400000000000002,0.0,2.592454242424244,0.6563575,85.0,305,200000
ga,slack,ga+slack,8,0.5,5,32,3.999915,0.5391410319989518,0.010454641998876468,True,252,42,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4636.0,True,4.516615977961433,22.58307988980717,30.132231404958677,30.400000000000002,0.0,2.572884986225896,0.6599550000000001,85.0,360,200000
ga,slack,ga+slack,8,0.5,6,32,4.000045,0.5246297080011573,0.007945825000206241,True,189,41,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4901.390243902439,True,4.535662677685947,22.678313388429736,30.132231404958677,30.400000000000002,0.0,2.584789173553718,0.66383625,85.0,295,200000
ga,slack,ga+slack,8,0.5,7,32,3.999975,0.5249387700005173,0.009122991999902297,True,230,41,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4915.195121951219,True,4.563843570247937,22.81921785123969,30.132231404958677,30.400000000000002,0.0,2.602402231404958,0.6596575,85.0,335,200000
ga,slack,ga+slack,8,0.75,0,32,5.999925,1.5168224590015598,0.01575760899868328,True,197,46,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3699.7391304347825,True,5.822193820752986,29.110969103764933,30.00367309458219,30.400000000000002,0.0,3.3888711379706153,0.9634518750000001,87.5,313,200000
ga,slack,ga+slack,8,0.75,1,32,5.999975,0.9283149479997519,0.014843804001429817,True,198,41,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3699.682926829268,True,5.764500418732784,28.822502093663925,30.23875114784206,30.400000000000002,0.0,3.3528127617079893,0.9512475,87.5,304,200000
ga,slack,ga+slack,8,0.75,2,32,5.999985,0.5999700640004448,0.01008045399976254,True,169,50,0.0,0.04,0.0091324200913242,1.0,0.9734689655172414,0.9734689655172414,0.9734689655172414,4290.244897959184,True,5.875598674747474,29.37799337373737,30.00367309458219,30.400000000000002,0.0,3.422249171717173,0.97505625,87.5,292,200000
ga,slack,ga+slack,8,0.75,3,32,5.99992,0.9186105859989766,0.010253279000608018,True,196,40,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3648.55,True,5.732146863544536,28.66073431772268,30.00367309458219,30.400000000000002,0.0,3.332591789715337,0.947095625,87.5,300,200000
ga,slack,ga+slack,8,0.75,4,32,5.999905,0.5373886020006466,0.008791223001026083,True,205,38,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3645.9473684210525,True,5.74290713719008,28.714535685950406,30.121212121212125,30.400000000000002,0.0,3.339316960743803,0.9437525,87.5,305,200000
ga,slack,ga+slack,8,0.75,5,32,5.999905,0.5323277119987324,0.011147848999826238,True,252,42,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3225.3809523809523,True,5.71571427327824,28.578571366391202,30.00367309458219,30.400000000000002,0.0,3.322321420798899,0.9416875,87.5,360,200000
ga,slack,ga+slack,8,0.75,6,32,5.999975,0.5129820999991352,0.008687719000590732,True,189,41,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4241.121951219512,True,5.741282687603308,28.70641343801654,30.121212121212125,30.400000000000002,0.0,3.3383016797520666,0.9479375000000001,87.5,295,200000
ga,slack,ga+slack,8,0.75,7,32,5.999955,0.5356175790002453,0.009930755999448593,True,230,41,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3630.829268292683,True,5.759533883930214,28.797669419651072,30.121212121212125,30.400000000000002,0.0,3.3497086774563827,0.9474568750000001,87.5,336,200000
ga,slack,ga+slack,8,0.85,0,32,6.80019,1.06488759900094,0.014710137000292889,True,197,46,0.0,0.7608695652173914,0.1440329218106996,1.0,0.2391304347826087,0.2391304347826087,0.2391304347826087,17862.214285714286,True,5.9983805660238785,29.991902830119393,30.00367309458219,30.400000000000002,0.0,3.4989878537649237,0.999536875,87.5,281,200000
ga,slack,ga+slack,8,0.85,1,32,6.800135,0.5559378510006354,0.013294860000314657,True,198,41,0.0,0.8292682926829268,0.14225941422594143,1.0,0.17073170731707318,0.17073170731707318,0.17073170731707318,16899.1,True,5.997989051239669,29.989945256198347,30.00367309458219,30.400000000000002,0.0,3.4987431570247947,0.999305625,87.5,272,200000
ga,slack,ga+slack,8,0.85,2,32,6.799925,1.5235216529999889,0.02114705399981176,True,169,50,0.0,0.88,0.2009132420091324,1.0,0.12,0.12,0.12,15256.25,True,6.0242424242424235,30.12121212121212,30.121212121212125,30.400000000000002,0.0,3.515151515151516,1.0,87.5,251,200000
ga,slack,ga+slack,8,0.85,3,32,6.79992,1.527545833001568,0.01867589500034228,True,196,40,0.0,0.775,0.13135593220338984,1.0,0.24682297154899896,0.24682297154899896,0.24682297154899896,6961.363636363636,True,5.997688010651976,29.988440053259882,30.00367309458219,30.400000000000002,0.0,3.4985550066574853,0.999400625,87.5,271,200000
