update,steps,episode_return,policy_loss,value_loss,entropy,approx_kl
1,2304,-20.438807064026076,-0.00026573621254510904,2.212432898581028,2.253227785229683,0.00014632189501639914
2,4608,-20.97251830373497,-0.001381321942365954,0.20821428764611483,2.0324007868766785,0.0013276332055467163
3,6912,-20.424903991661857,-0.0003514675044016258,0.18157858587801456,2.0828061997890472,0.0001999853733123144
4,9216,-19.935604852429943,6.920029099749536e-05,0.15250103641301394,2.0200180336833,0.00012673207442680245
5,11520,-19.64501939225773,-0.00043690497543341644,0.13741267984732985,1.9892217218875885,0.00010949122520682083
6,13824,-19.68229940612014,7.797736205361616e-05,0.1541984174400568,2.253972828388214,5.0221918469459375e-05
7,16128,-20.160508455279853,-0.0001957482112860398,0.10488769551739097,2.046182818710804,6.033326262411265e-05
8,18432,-20.43784511070165,-0.0007515734678267272,0.1359731270931661,2.0689447671175003,0.00048810402762140045
9,20736,-21.884268911109135,-0.00015185643496806733,0.111250180285424,2.0104271695017815,0.00038357546902210993
10,23040,-21.920021281087738,-0.00021153407957777426,0.07516026962548494,1.9385889694094658,0.0002974550805245396
11,25344,-22.580277857963157,-0.0007487904176489146,0.10178600624203682,2.2285503149032593,0.00025250944493077684
12,27648,-22.22838449714375,-0.0004914014362561309,0.08977194223552942,2.0289021134376526,0.00027595636538219667
13,29952,-22.251085135021043,-0.0004506894688347529,0.09129317430779338,2.088501453399658,9.414761939375953e-05
14,32256,-22.2226799726601,-0.0014856049702227092,0.09872609935700893,2.0423995032906532,0.001176524391196507
15,34560,-21.879396621463147,-0.0004599595660010891,0.0856674574315548,1.999425359070301,0.000333639297067298
16,36864,-22.3753382559909,-5.430127731009815e-05,0.1462438083253801,2.243820458650589,0.0001380818572253393
17,39168,-23.552252451147226,-0.001134483377882134,0.07563979690894485,2.0398699790239334,0.0002683274994678994
18,41472,-24.54616640340234,-0.0018798273229600065,0.07971529336646199,2.0908380299806595,0.0017275190942819384
19,43776,-24.422800358118167,-0.0014726387895507287,0.0708537488244474,2.0375400111079216,0.002121966577482856
20,46080,-23.9170679357277,-0.001089808651158819,0.06601658463478088,1.9970708787441254,0.0007001199012140399
21,48384,-23.1788417235269,-0.0025771343346908393,0.08294668747112155,2.24946066737175,0.0022747717548807283
22,50688,-23.448707078335485,-0.0016183278898501685,0.10002592345699668,2.0176152735948563,0.0011736834977429875
23,52992,-21.683421543265222,-0.001980204091725883,0.059058579383417964,2.0404718071222305,0.0016272521955518933
24,55296,-20.69295279406554,-0.0006961702701049344,0.06577324192039669,1.9652235358953476,0.0008399660246014816
25,57600,-21.986020200432232,-0.0020301586793417536,0.06710088695399463,1.9661584496498108,0.0016715840678153248
26,59904,-22.94972377652013,-0.0005076335687590472,0.1001948150806129,2.2087550312280655,0.0009679665211276894
27,62208,-23.096516249208108,-0.00042791972676542445,0.058350866194814444,1.947834625840187,0.0005389784173151675
28,64512,-22.76328392263943,-0.001252195898460845,0.0523473487701267,1.9900199249386787,0.00072106650685555
29,66816,-22.349345844478897,-0.0011602448802882082,0.05359394918195903,1.893673337996006,0.001440618611026265
30,69120,-22.70626145774404,-0.0010688257917637056,0.04164607962593436,1.8729741349816322,0.0010837766918838396
31,71424,-22.297956957801844,-0.0007285817866254929,0.05671966006048024,2.1699122339487076,0.00042400968307118895
32,73728,-20.06329204584115,-0.0017594522872362572,0.05082036112435162,1.8560547083616257,0.0008955292387895497
33,76032,-19.606526361889877,-0.0010925590837334576,0.04380678036250174,1.9122284352779388,0.0008471099349662836
34,78336,-19.996029896309754,-0.001626291208695979,0.04324021842330694,1.8299054577946663,0.001170238221902764
35,80640,-19.832051071614384,-0.0017763812850262184,0.044677384896203876,1.8028445392847061,0.001064450543039028
36,82944,-20.052710937934567,-0.0015172578621205635,0.04591726325452328,2.1040581315755844,0.0016825603719041737
37,85248,-20.87486693914816,-0.0008117923689492934,0.05023079924285412,1.8022344559431076,0.001002346289750575
38,87552,-20.283819675619355,-0.0004957330969419804,0.03859599446877837,1.8850927874445915,0.0004535811374605852
