update,steps,episode_return,policy_loss,value_loss,entropy,approx_kl
1,2304,22.367381249115912,-0.0011534630536214063,2.2446299046278,3.6146407276391983,0.0010219966884505993
2,4608,24.76294705287594,-0.002646075650697355,0.2739556087180972,3.596695199608803,0.0034599741833289954
3,6912,26.012994976415044,-0.002327445573529152,0.20902453176677227,3.5948653519153595,0.0027667480743502892
4,9216,20.479600235905476,-0.0005461997599114365,0.21450265310704708,3.608654260635376,0.0010643763756661428
5,11520,21.91023888890728,-0.002134153413534401,0.22107743564993143,3.6080866008996964,0.0013211593013693346
6,13824,23.129203769803325,-0.0013129325749711707,0.1464716549962759,3.600339397788048,0.0007521445701286211
7,16128,22.900833144855486,-0.0017483739105349227,0.13459927961230278,3.595300406217575,0.0008111034975399889
8,18432,22.116893593134318,-0.0020089421644418903,0.15262217354029417,3.5954877734184265,0.0010094137854821383
9,20736,22.49102038504092,-0.0015291033644441732,0.13317309552803636,3.5794081687927246,0.0019980094382390234
10,23040,23.1039252382101,-0.001635717346112453,0.09416821273043752,3.5845005065202713,0.0023579870605203723
11,25344,23.962987456238892,-0.0026564191450436023,0.14152708696201444,3.5838327556848526,0.0028442798713399498
12,27648,25.45659612695671,-0.003760041899416422,0.09732022415846586,3.572694405913353,0.0033458417086649206
13,29952,25.193356738337762,-0.0010773921888661275,0.10579211311414838,3.5817136019468307,0.0010770038372811541
14,32256,25.463660414048455,-0.0013261191164575525,0.1328780804760754,3.588793784379959,0.0010090650048368843
15,34560,25.67128109309464,-0.0010017085553247207,0.17809659987688065,3.587158888578415,0.0009020032518947119
16,36864,25.114889785691545,-0.0009814460641198175,0.08066665288060904,3.589957132935524,0.0005568481208229059
17,39168,23.504405218237387,-0.002097573576166828,0.09565496211871505,3.5794314444065094,0.001430017766324454
18,41472,26.315014366727056,-0.002417973010778951,0.048212063033133745,3.5726369619369507,0.002519354818332431
19,43776,26.349572628908962,-0.0009379411512024198,0.08780750259757042,3.567413941025734,0.0009520605476609489
20,46080,25.488798739356763,-0.0007339725796100538,0.06642533000558615,3.561081647872925,0.00042358948451237666
21,48384,26.745580503083502,-0.0032803262718314463,0.062293241964653134,3.560906395316124,0.00364587635681346
22,50688,28.782302192213375,-0.0022155304037470257,0.06800963100977242,3.5548114627599716,0.0011961913340314823
23,52992,27.813860655839406,-0.0025682524814732988,0.06381365819834173,3.5427231937646866,0.00208179875494352
24,55296,27.345079124793582,-0.0009545646533726734,0.07586913905106485,3.5312382131814957,0.0015046259889004432
25,57600,26.629857382202754,-0.0013922620601836966,0.13505104510113597,3.528124377131462,0.0005975098182489091
26,59904,25.813552688836626,-0.0017944969643698128,0.07384213455952704,3.5134952515363693,0.0027107032427124977
27,62208,24.793132449493967,-0.001576890710572973,0.0649072250816971,3.5275916755199432,0.0024474422717730704
28,64512,26.005656912330956,-0.002777656380910931,0.03984492248855531,3.5478401631116867,0.002291405990661133
29,66816,23.718845084076467,-0.0010650811497422696,0.09999913536012173,3.5478689074516296,0.0018504395991385536
30,69120,25.96799854216535,-0.002484589482340538,0.053272505290806293,3.5401780158281326,0.0014883409552908233
31,71424,25.218069719388005,-0.0021771776997007303,0.06576435593888164,3.520780012011528,0.0021347985548345605
32,73728,27.28434596929813,-0.0017339766153175729,0.05749881896190345,3.4959365725517273,0.001789047786928677
33,76032,27.461091795438183,-0.001810281858221685,0.10367897432297468,3.4980831891298294,0.001528725070585324
34,78336,26.81021064774935,-0.0004009705780845252,0.05299807689152658,3.518400549888611,0.0010965552063737505
35,80640,23.331927208301536,-0.0013227253438748976,0.14072862174361944,3.5157832205295563,0.001055379630798825
36,82944,25.63590900050693,-0.0006878607708939756,0.0411903893109411,3.51876300573349,0.0007176311993362106
37,85248,26.88943729815399,-0.0019566245030853413,0.045226473128423095,3.520134374499321,0.0015380503296000825
38,87552,27.302414758938998,-0.0017684966833510576,0.06004339433275163,3.51448592543602,0.0009329193178473361
39,89856,25.215157724161617,-0.0012604362113929901,0.0651886451523751,3.5112809985876083,0.0011987442145482419
40,92160,27.150196103952695,-0.0024151770881467582,0.04973291279748082,3.501548543572426,0.002277996582392916
41,94464,27.855590145884907,-0.002238240333503616,0.040376495802775025,3.469300463795662,0.0018136701005460054
42,96768,27.788660679341675,-0.0015054196488664406,0.05798351066187024,3.4604346454143524,0.0025761371655335097
43,99072,26.480509441434677,-0.0006667576779667006,0.09434709046036005,3.4724082350730896,0.0015308151399722192
44,101376,24.967945992126598,-0.002637315383961121,0.07784583233296871,3.4692639261484146,0.002382886703060194
45,103680,22.46153897905547,-0.00047318793036134343,0.12323800101876259,3.4852309972047806,0.0005532401888785898
46,105984,23.71700697301252,-0.0013184352279343448,0.04069896740838885,3.4726110845804214,0.0010808236691559614
47,108288,25.353371858642358,-0.0019822009673791663,0.06102896691299975,3.469324693083763,0.0015561144261937443
48,110592,25.589540273748845,-0.0027019558299596347,0.05110603850334883,3.485585168004036,0.0031962489517809445
49,112896,25.530093905346167,-0.001395858171134856,0.062209561932832,3.499268114566803,0.0017034371974204987
50,115200,28.521179850326927,-0.0010534820459421335,0.054628780810162425,3.4966457784175873,0.0011569784386438187
51,117504,30.0225955241196,-0.0013074748039798578,0.058470295974984765,3.5064251720905304,0.0009489010382139895
52,119808,29.263513015626177,-0.0003094483988408947,0.058021624106913805,3.5241113007068634,0.0006435922546756956
53,122112,26.821585362791193,-0.0027890182257376828,0.09803846618160605,3.5159724056720734,0.0022950382696649285
54,124416,27.38495182096829,-0.0022950771289187433,0.050112354569137096,3.503748193383217,0.002618473386291953
55,126720,27.14320709964636,-0.0019000804899051982,0.12074929475784302,3.495032086968422,0.0018635545111465035
56,129024,27.86940764086171,-0.0014846520904130411,0.05891307140700519,3.497688055038452,0.0010411199982627295
57,131328,26.25913483046317,-0.0015666502380453362,0.03925605118274689,3.5374722480773926,0.0020099760384937326
58,133632,26.421408064074637,-0.0019551408621130972,0.04702046234160662,3.5428890883922577,0.002020541142314869
59,135936,29.32620562148787,-0.0018268093831466103,0.06128256511874497,3.532129317522049,0.0019361160855169146
60,138240,29.736902319295908,-0.0003968485914987996,0.049824990099295974,3.516215518116951,0.00040356124713980535
61,140544,29.858376630235117,-0.0018543897006869092,0.0527694346383214,3.5323838591575623,0.0024644235749065047
62,142848,26.94338938671674,-0.0019640706334863867,0.07536256709136069,3.5434314161539078,0.0018628218201683922
