core,energy_j,mean_power_w,busy_ratio,level
0,0.8865559999999978,4.4327799999999895,0.983195,100
1,0.5822561204775013,2.9112806023875066,0.97573,80
2,0.860943999999998,4.304719999999991,0.95118,100
3,0.8228479999999975,4.114239999999988,0.90356,100
4,0.5572049777777772,2.7860248888888863,0.925045,80
5,0.8337599999999978,4.168799999999989,0.9172,100
6,0.8917639999999976,4.458819999999988,0.989705,100
7,0.8480959999999977,4.240479999999989,0.93512,100
8,0.868811999999998,4.344059999999991,0.961015,100
9,0.8771039999999978,4.385519999999989,0.97138,100
10,0.4711835041322319,2.35591752066116,0.99015,70
11,0.4744805388429757,2.3724026942148786,0.998945,70
12,0.5892225968778685,2.9461129843893428,0.989825,80
13,0.8380479999999977,4.190239999999989,0.92256,100
14,0.7302380958677682,3.651190479338841,0.99192,90
15,0.5924525311294755,2.9622626556473777,0.99636,80
16,0.7063671735537185,3.5318358677685926,0.95435,90
17,0.5921114975206601,2.9605574876033005,0.99567,80
18,0.8695439999999982,4.347719999999992,0.96193,100
19,0.7227502380165287,3.613751190082644,0.980135,90
20,0.7321060892561979,3.66053044628099,0.99486,90
21,0.8071759999999985,4.035879999999993,0.88397,100
22,0.8975439999999976,4.487719999999988,0.99693,100
23,0.815975999999998,4.07987999999999,0.89497,100
24,0.47467172561983517,2.373358628099176,0.999455,70
25,0.28635373002754844,1.4317686501377422,0.95907,50
26,0.8968679999999977,4.484339999999989,0.996085,100
27,0.4674647338842981,2.3373236694214907,0.98023,70
28,0.46666624793388506,2.3333312396694255,0.9781,70
29,0.4742331206611575,2.371165603305788,0.998285,70
30,0.5925192550964177,2.9625962754820887,0.996495,80
31,0.29241026997245173,1.4620513498622587,0.99024,50
