start,end,power_w
0,9398,30.132231404958677
9398,10000,26.132231404958677
10000,13779,30.132231404958677
13779,14607,28.754820936639117
14607,18334,24.754820936639117
18334,19175,26.132231404958677
19175,20000,24.754820936639117
20000,20704,28.754820936639117
20704,25000,27.37741046831956
25000,29055,30.132231404958677
29055,29398,26.132231404958677
29398,30000,22.132231404958677
30000,31246,26.132231404958677
31246,34607,24.754820936639117
34607,37397,20.754820936639117
37397,38321,19.37741046831956
38321,40000,20.754820936639117
40000,40942,30.132231404958677
40942,45772,28.754820936639117
45772,46458,27.37741046831956
46458,48568,26.0
48568,48740,27.37741046831956
48740,49398,28.754820936639117
49398,50000,24.754820936639117
50000,54607,30.132231404958677
54607,56418,26.132231404958677
56418,56948,24.754820936639117
56948,60000,26.132231404958677
60000,60254,30.132231404958677
60254,62126,28.754820936639117
62126,65566,30.132231404958677
65566,67443,28.754820936639117
67443,68587,24.754820936639117
68587,68714,23.37741046831956
68714,69398,22.0
69398,70000,18.0
70000,74607,22.0
74607,75000,18.0
75000,76281,20.754820936639117
76281,78044,22.132231404958677
78044,80000,20.754820936639117
80000,80942,30.132231404958677
80942,81595,28.754820936639117
81595,83273,27.37741046831956
83273,88238,28.754820936639117
88238,88315,27.37741046831956
88315,88668,28.754820936639117
88668,89398,30.132231404958677
89398,90000,26.132231404958677
90000,91799,30.132231404958677
91799,91945,28.754820936639117
91945,93237,27.37741046831956
93237,94039,28.754820936639117
94039,97303,27.37741046831956
97303,98664,23.37741046831956
98664,99997,19.37741046831956
99997,100000,20.754820936639117
100000,109055,30.132231404958677
109055,109398,26.132231404958677
109398,110000,22.132231404958677
110000,110254,26.132231404958677
110254,111436,24.754820936639117
111436,112718,20.754820936639117
112718,114607,19.37741046831956
114607,116098,15.377410468319558
116098,117757,16.754820936639117
117757,119490,12.754820936639117
119490,119982,11.377410468319558
119982,120000,7.3774104683195585
120000,120942,28.754820936639117
120942,121478,27.37741046831956
121478,121658,23.37741046831956
121658,125000,19.37741046831956
125000,126946,30.132231404958677
126946,128020,26.132231404958677
128020,128044,24.754820936639117
128044,128723,23.37741046831956
128723,129398,19.37741046831956
129398,129637,15.377410468319558
129637,130000,16.754820936639117
130000,130302,24.754820936639117
130302,131311,20.754820936639117
131311,132840,16.754820936639117
132840,134607,18.132231404958677
134607,135656,14.132231404958675
135656,136439,12.754820936639117
136439,137045,11.377410468319558
137045,137343,10.0
137343,140000,11.377410468319558
140000,146739,19.37741046831956
146739,147443,15.377410468319558
147443,148791,11.377410468319558
148791,149398,10.0
149398,150000,6.0
150000,150509,24.754820936639117
150509,150913,20.754820936639117
150913,154405,22.132231404958677
154405,154607,20.754820936639117
154607,156595,16.754820936639117
156595,157532,15.377410468319558
157532,159790,16.754820936639117
159790,160000,12.754820936639117
160000,161196,28.754820936639117
161196,161478,27.37741046831956
161478,163700,23.37741046831956
163700,166739,19.37741046831956
166739,167266,15.377410468319558
167266,169398,14.0
169398,170000,10.0
170000,170302,18.0
170302,174607,14.0
174607,175000,10.0
175000,175207,24.754820936639117
175207,178044,20.754820936639117
178044,178723,19.37741046831956
178723,180000,15.377410468319558
180000,181311,24.754820936639117
181311,181595,20.754820936639117
181595,183614,19.37741046831956
183614,186739,18.0
186739,187443,14.0
187443,189398,10.0
189398,190000,6.0
190000,190302,14.0
190302,194607,10.0
194607,200000,6.0
