start,end,power_w
0,9100,58.81248852157943
9100,9280,54.81248852157943
9280,10000,50.81248852157943
10000,19100,58.81248852157943
19100,19280,54.81248852157943
19280,20000,50.81248852157943
20000,22189,58.81248852157943
22189,25000,54.81248852157943
25000,29100,58.81248852157943
29100,29280,54.81248852157943
29280,30000,50.81248852157943
30000,38960,58.81248852157943
38960,39049,56.93810835629018
39049,39100,58.81248852157943
39100,39240,54.81248852157943
39240,39280,52.341230486685035
39280,39424,48.341230486685035
39424,40000,44.341230486685035
40000,47189,58.81248852157943
47189,49100,54.81248852157943
49100,49280,50.81248852157943
49280,50000,46.81248852157943
50000,54453,58.81248852157943
54453,59100,55.6356290174472
59100,59280,51.6356290174472
59280,60000,47.6356290174472
60000,69100,58.81248852157943
69100,69280,54.81248852157943
69280,70000,50.81248852157943
70000,71704,58.81248852157943
71704,72189,55.6356290174472
72189,72742,51.6356290174472
72742,72864,49.1643709825528
72864,75000,45.98751147842057
75000,75985,55.6356290174472
75985,76842,51.6356290174472
76842,78131,49.1643709825528
78131,79100,51.6356290174472
79100,79173,47.6356290174472
79173,79280,50.81248852157943
79280,79292,46.81248852157943
79292,79318,44.93810835629018
79318,79424,41.76124885215795
79424,80000,37.76124885215795
80000,89100,55.6356290174472
89100,89280,51.6356290174472
89280,90000,47.6356290174472
90000,91557,55.6356290174472
91557,93014,51.6356290174472
93014,94949,48.45876951331497
94949,97189,45.28191000918274
97189,99100,41.28191000918274
99100,99280,37.28191000918274
99280,99834,33.28191000918274
99834,100000,30.810651974288337
100000,109100,58.81248852157943
109100,109280,54.81248852157943
109280,110000,50.81248852157943
110000,119100,58.81248852157943
119100,119280,54.81248852157943
119280,119424,50.81248852157943
119424,119480,46.81248852157943
119480,120000,44.93810835629018
120000,122189,58.81248852157943
122189,125000,54.81248852157943
125000,129100,58.81248852157943
129100,129280,54.81248852157943
129280,130000,50.81248852157943
130000,139100,58.81248852157943
139100,139280,54.81248852157943
139280,140000,50.81248852157943
140000,147189,58.81248852157943
147189,149100,54.81248852157943
149100,149280,50.81248852157943
149280,150000,46.81248852157943
150000,158437,58.81248852157943
158437,159100,56.93810835629018
159100,159280,52.93810835629018
159280,159424,48.93810835629018
159424,160000,44.93810835629018
160000,169100,58.81248852157943
169100,169280,54.81248852157943
169280,170000,50.81248852157943
170000,172189,58.81248852157943
172189,174261,54.81248852157943
174261,175000,50.81248852157943
175000,179100,54.81248852157943
179100,179280,50.81248852157943
179280,180000,46.81248852157943
180000,185559,58.81248852157943
185559,186574,56.93810835629018
186574,188294,53.76124885215795
188294,189100,50.58438934802571
189100,189280,46.58438934802571
189280,190000,42.58438934802571
190000,190117,55.6356290174472
190117,191557,52.45876951331497
191557,195410,48.45876951331497
195410,196807,46.58438934802571
196807,197189,43.40752984389348
197189,197538,39.40752984389348
197538,197621,36.93627180899908
197621,197700,34.46501377410468
197700,199100,31.288154269972452
199100,199280,27.288154269972452
199280,199293,23.288154269972452
199293,199424,20.816896235078055
199424,199429,16.816896235078055
199429,199555,14.942516069788798
199555,199701,12.471258034894399
199701,200000,10.0
