policy,n_cores,u_per_core,schedulable_mean,hard_miss_ratio_mean,soft_miss_ratio_mean,qos_mean_mean,qos_weighted_mean,acceptance_ratio_mean,energy_j_mean,mean_chip_power_w_mean,peak_chip_power_w_mean,tdp_violation_ratio_mean,mean_core_level_mean,schedulable_std,hard_miss_ratio_std,soft_miss_ratio_std,qos_mean_std,qos_weighted_std,acceptance_ratio_std,energy_j_std,mean_chip_power_w_std,peak_chip_power_w_std,tdp_violation_ratio_std,mean_core_level_std
ga+slack,16,0.75,1.0,0.0,0.0,1.0,1.0,1.0,11.2203,56.1014,58.9912,0.0,87.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.1093,0.5466,0.1755,0.0,0.3341
ga+slack,16,0.85,1.0,0.0,0.7478,0.2608,0.2608,1.0,11.9722,59.8612,59.8945,0.8677,88.6719,0.0,0.0,0.0424,0.0427,0.0427,0.0,0.0842,0.4208,0.4263,0.3507,0.4005
ga+slack,16,0.95,1.0,0.0,0.6245,0.3904,0.3904,1.0,14.7271,73.6353,73.6913,1.0,99.7656,0.0,0.0,0.0409,0.0437,0.0437,0.0,0.0821,0.4107,0.426,0.0,0.3235
ga+slack,16,1.0,0.0,0.0314,0.9972,0.0028,0.0028,1.0,14.8,73.9998,74.0,1.0,100.0,0.0,0.0119,0.0052,0.0052,0.0052,0.0,0.0001,0.0005,0.0,0.0,0.0
ga+slack,32,0.25,1.0,0.0,0.0,1.0,1.0,1.0,10.1002,50.5009,77.086,0.0,66.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.1985,0.9923,1.5263,0.0,0.7835
ga+slack,32,0.5,1.0,0.0,0.0,1.0,1.0,1.0,15.956,79.7801,99.6794,0.0,78.2031,0.0,0.0,0.0,0.0,0.0,0.0,0.2812,1.4059,2.6505,0.0,1.1174
ga+slack,32,0.75,1.0,0.0,0.0361,0.9661,0.9661,1.0,22.0628,110.3141,114.2512,0.1488,86.3281,0.0,0.0,0.0756,0.0719,0.0719,0.0,0.7334,3.6671,4.0142,0.2756,1.9246
ga+slack,32,0.85,1.0,0.0,0.5616,0.4578,0.4578,1.0,24.0229,120.1144,120.3197,0.9766,90.1562,0.0,0.0,0.0786,0.0801,0.0801,0.0,0.1439,0.7196,0.7328,0.013,0.2362
ga+slack,32,0.95,1.0,0.0,0.5234,0.4959,0.4959,1.0,29.1438,145.7192,145.8971,1.0,99.9609,0.0,0.0,0.0944,0.0909,0.0909,0.0,0.0567,0.2837,0.291,0.0,0.1105
ga+slack,32,1.0,0.0,0.0339,0.9965,0.0035,0.0035,1.0,29.2,146.0,146.0,1.0,100.0,0.0,0.0122,0.0029,0.0029,0.0029,0.0,0.0,0.0,0.0,0.0,0.0
rl+rl,8,0.25,1.0,0.0,0.0,1.0,1.0,1.0,2.7947,13.9737,23.8903,0.0,64.8438,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.2623,1.7623,0.0,0.4419
rl+rl,8,0.5,1.0,0.0,0.0,1.0,1.0,1.0,4.416,22.08,29.6395,0.0,76.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0878,0.4388,0.7513,0.0,2.3146
rl+rl,8,0.75,1.0,0.0,0.0331,0.9792,0.9792,1.0,5.7384,28.6921,30.1506,0.0,86.4062,0.0,0.0,0.0346,0.0245,0.0245,0.0,0.0418,0.209,0.1369,0.0,1.0432
rl+rl,8,0.85,1.0,0.0,0.7992,0.2026,0.2026,0.9877,6.0279,30.1395,30.3078,0.1217,87.5,0.0,0.0,0.0843,0.0846,0.0846,0.0188,0.0255,0.1276,0.0832,0.3443,0.0
rl+rl,8,0.95,1.0,0.0,0.8092,0.1909,0.1909,0.9359,7.1514,35.757,35.8381,0.9957,96.5625,0.0,0.0,0.073,0.0731,0.0731,0.038,0.0648,0.324,0.3321,0.0018,0.5786
rl+rl,8,1.0,0.0,0.0305,0.9584,0.0416,0.0416,0.7473,7.5727,37.8635,37.8971,0.9979,99.8438,0.0,0.0275,0.0366,0.0366,0.0366,0.1001,0.0581,0.2907,0.291,0.002,0.4419
rl+rl,16,0.25,1.0,0.0,0.0,1.0,1.0,1.0,5.0198,25.0988,42.3383,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1303,0.6514,2.2717,0.0,0.0
rl+rl,16,0.5,1.0,0.0,0.0,1.0,1.0,1.0,8.4039,42.0197,56.1975,0.0,74.9219,0.0,0.0,0.0,0.0,0.0,0.0,0.1359,0.6797,1.5886,0.0,0.221
rl+rl,16,0.75,1.0,0.0,0.0194,0.987,0.987,1.0,11.1414,55.7072,58.9627,0.0,87.1094,0.0,0.0,0.017,0.0118,0.0118,0.0,0.1448,0.724,0.1595,0.0,1.0531
rl+rl,16,0.85,1.0,0.0,0.858,0.144,0.144,0.993,11.6959,58.4793,59.1504,0.0,87.7344,0.0,0.0,0.0545,0.0548,0.0548,0.0059,0.0194,0.0969,0.061,0.0,0.465
rl+rl,16,0.95,1.0,0.0,0.8995,0.1005,0.1005,0.9805,13.7493,68.7467,68.8813,0.9953,95.8594,0.0,0.0,0.0665,0.0665,0.0665,0.0153,0.0889,0.4445,0.4764,0.0015,0.3235
rl+rl,16,1.0,0.0,0.0264,0.9734,0.0266,0.0266,0.8551,14.794,73.9699,74.0,0.9997,100.0,0.0,0.006,0.0264,0.0264,0.0264,0.0447,0.0048,0.0241,0.0,0.0006,0.0
rl+rl,32,0.25,1.0,0.0,0.0,1.0,1.0,1.0,9.7535,48.7674,78.9394,0.0,62.4609,0.0,0.0,0.0,0.0,0.0,0.0,0.2291,1.1455,2.8872,0.0,0.1105
rl+rl,32,0.5,1.0,0.0,0.0027,0.9973,0.9973,1.0,16.3934,81.9671,104.6702,0.0,73.75,0.0,0.0,0.0029,0.0029,0.0029,0.0,0.2,0.9998,3.9344,0.0,0.0
rl+rl,32,0.75,1.0,0.0,0.0227,0.981,0.981,1.0,22.0329,110.1644,116.6015,0.0,86.6016,0.0,0.0,0.0154,0.013,0.013,0.0,0.153,0.7648,0.1407,0.0,0.4852
rl+rl,32,0.85,1.0,0.0,0.8582,0.152,0.152,0.9956,23.0349,115.1746,116.6457,0.0,87.4609,0.0,0.0,0.0376,0.0395,0.0395,0.0041,0.0667,0.3335,0.0887,0.0,0.4238
rl+rl,32,0.95,1.0,0.0,0.9116,0.0884,0.0884,0.9901,27.013,135.0648,135.282,0.9961,95.7031,0.0,0.0,0.0631,0.0631,0.0631,0.0073,0.141,0.705,0.7246,0.0009,0.277
rl+rl,32,1.0,0.0,0.0264,0.9844,0.0156,0.0156,0.9304,29.1884,145.942,146.0,1.0,100.0,0.0,0.0078,0.0162,0.0162,0.0162,0.0223,0.0041,0.0204,0.0,0.0001,0.0
